Requirement ID,Authoritative limitation,Readable-group limitation,Effective limitation,Remaining unverified scope,Match,Result
KBDL-PRO-027,Recommended — grants no implementation authority pending project-owner review; see the decision packet,"KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Recommended — grants no implementation authority pending project-owner review; see the decision packet,None,True,PASS
KBDL-PRO-028,Recommended — grants no implementation authority pending project-owner review; see the decision packet,"KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Recommended — grants no implementation authority pending project-owner review; see the decision packet,None,True,PASS
KBDL-PRO-029,Recommended — grants no implementation authority pending project-owner review; see the decision packet. Manual customization of a project's KBDL implementation is governed by customization.md; this profile document does not itself authorize a project customization,"KBDL-PRO-019–026: implementation-dependent, not yet verified. KBDL-PRO-027, 029: Recommended, grants no implementation authority pending project-owner review. KBDL-PRO-028: Recommended, grants no implementation authority pending project-owner review",Recommended — grants no implementation authority pending project-owner review; see the decision packet. Manual customization of a project's KBDL implementation is governed by customization.md; this profile document does not itself authorize a project customization,None,True,PASS
KBDL-RSP-001,None explicit,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,Not verified,True,PASS
KBDL-RSP-002,None explicit,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,None,True,PASS
KBDL-RSP-003,None explicit,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,None,True,PASS
KBDL-RSP-004,None explicit,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,None,True,PASS
KBDL-RSP-005,None explicit,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,These are recommendations awaiting project-owner approval; must not be treated as Approved or implemented until that approval is recorded,None,True,PASS
KBDL-RSP-006,None explicit,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,Not verified,True,PASS
KBDL-RSP-007,None explicit,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,Not verified,True,PASS
KBDL-RSP-008,None explicit,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-RSP-009,None explicit,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-RSP-010,None explicit,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-RSP-011,None explicit,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-RSP-012,None explicit,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Exact collapse thresholds and per-project column-priority rules remain qualitative pending implementation-level review,Not verified,True,PASS
KBDL-RSP-013,None explicit,Implementation- and device-dependent,Implementation- and device-dependent,Not verified,True,PASS
KBDL-RSP-014,None explicit,Implementation- and device-dependent,Implementation- and device-dependent,Not verified,True,PASS
KBDL-RSP-015,None explicit,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,Not verified,True,PASS
KBDL-RSP-016,None explicit,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,Not verified,True,PASS
KBDL-RSP-017,None explicit,Implementation- and device-dependent,Implementation- and device-dependent,Not verified,True,PASS
KBDL-RSP-018,None explicit,Implementation- and device-dependent,Implementation- and device-dependent,Not verified,True,PASS
KBDL-RSP-019,None explicit,Implementation- and device-dependent,Implementation- and device-dependent,Not verified,True,PASS
KBDL-RSP-020,None explicit,Implementation-dependent; cannot be tested until a real layout exists,Implementation-dependent; cannot be tested until a real layout exists,Not verified,True,PASS
KBDL-RSP-021,None explicit,Performance claims cannot be Verified without a real implementation to measure,Performance claims cannot be Verified without a real implementation to measure,Not verified,True,PASS
KBDL-RSP-022,None explicit,Performance claims cannot be Verified without a real implementation to measure,Performance claims cannot be Verified without a real implementation to measure,Not verified,True,PASS
KBDL-THM-001,None explicit,Cannot be fully validated until component modules (CMP) exist,Cannot be fully validated until component modules (CMP) exist,Not verified,True,PASS
KBDL-THM-002,None explicit,None identified,None identified,None,True,PASS
KBDL-THM-003,None explicit,Cannot be validated until an implementation exists,Cannot be validated until an implementation exists,Not verified,True,PASS
KBDL-THM-004,None explicit,Cannot be validated until an implementation exists,Cannot be validated until an implementation exists,Not verified — approval authorizes this baseline; it does not itself constitute implementation validation,True,PASS
KBDL-THM-005,None explicit,Cannot be fully validated until PRO requirements exist,Cannot be fully validated until PRO requirements exist,Not verified,True,PASS
KBDL-THM-006,None explicit,Cannot be fully validated until PRO requirements exist,Cannot be fully validated until PRO requirements exist,Not verified,True,PASS
KBDL-THM-007,None explicit,"Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row","Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row",Verified for the opaque contrast pairs listed in light-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,True,PASS
KBDL-THM-008,None explicit,"Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row","Approval covers the opaque mappings only; opacity values must not be treated as Approved or implemented until a future decision addresses them. The dark theme was independently designed, not inverted from light — see dark-theme.md § Design Strategy for the neutral-60/neutral-50 asymmetry this produced. Translucent opacity values remain entirely out of scope for this row",Verified for the opaque contrast pairs listed in dark-theme.md and validation.md; Not verified for the excluded opacity values or for suitability beyond the tested pairs,True,PASS
KBDL-THM-009,None explicit,"New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope","New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope",Verified for the contrast pairs listed (see validation.md); Not verified for suitability beyond the tested pairs,True,PASS
KBDL-THM-010,None explicit,"New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope","New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope",Verified for the opaque caption-band pair and both gradient endpoints (see validation.md); Not verified for any translucent variant,True,PASS
KBDL-THM-011,None explicit,"New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope","New dark-mode status hues (#7CC4FF, #6FD19A, #E0A840, #FF8A80) were introduced here since the light-mode-only values from KBDL-003 fail contrast against a dark canvas; these dark hues, along with the light-mode Informational value revised to #164499 under KBDL-004-R1, are now Approved as part of the theme layer under KBDL-004-A1 (its correct role assignment — #164499 for Text/Icon/Border/Strong-surface, neutral-10 for On-strong-surface content — was clarified under KBDL-004-R2). Any translucent caption-band variant remains outside this row's approved scope",None,True,PASS
KBDL-THM-012,None explicit,"Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval","Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval",Not verified,True,PASS
KBDL-THM-012a,None explicit,"Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval","Exact timing/easing depends entirely on KBDL-005, which is eligible for its own future prompt and has not been started by this approval",Not verified,True,PASS
KBDL-THM-013,None explicit,Cannot be validated until an implementation exists,Cannot be validated until an implementation exists,Not verified,True,PASS
KBDL-THM-014,None explicit,Cannot be validated until a project theme exists,Cannot be validated until a project theme exists,Not verified,True,PASS
KBDL-THM-015,None explicit,Cannot be validated until an implementation exists,Cannot be validated until an implementation exists,Not verified,True,PASS
KBDL-VAL-001,Runtime claims remain Class E,These methods validate repository evidence only; they do not execute an implementation,Runtime claims remain Class E,None,True,PASS
KBDL-VAL-002,None,These methods validate repository evidence only; they do not execute an implementation,None,None,True,PASS
KBDL-VAL-003,Historical GOV provenance format noted,These methods validate repository evidence only; they do not execute an implementation,Historical GOV provenance format noted,None,True,PASS
KBDL-VAL-004,Implementation ledger remains unverified by design,These methods validate repository evidence only; they do not execute an implementation,Implementation ledger remains unverified by design,None,True,PASS
KBDL-VAL-005,Pending choices remain unavailable for implementation,"Static agreement does not establish runtime, assistive-technology, device, security, or production conformance",Pending choices remain unavailable for implementation,None,True,PASS
KBDL-VAL-006,implementation conformance remains Not verified,"Static agreement does not establish runtime, assistive-technology, device, security, or production conformance",implementation conformance remains Not verified,None,True,PASS
KBDL-VAL-007,No external-site availability claim,"Static agreement does not establish runtime, assistive-technology, device, security, or production conformance",No external-site availability claim,None,True,PASS
KBDL-VAL-008,static and runtime architecture require further evidence,"Static agreement does not establish runtime, assistive-technology, device, security, or production conformance",static and runtime architecture require further evidence,Not verified,True,PASS
KBDL-VAL-009,Translucency/media remain unverified,"009 excludes unknown alpha/media contexts; 010 and 011 verify ledger honesty, not implementation or project conformance; 012 records a pending gate",Translucency/media remain unverified,None,True,PASS
KBDL-VAL-010,listed behavior and ledger completeness remain Not verified,"009 excludes unknown alpha/media contexts; 010 and 011 verify ledger honesty, not implementation or project conformance; 012 records a pending gate",listed behavior and ledger completeness remain Not verified,Not verified,True,PASS
KBDL-VAL-011,No adopting project,"009 excludes unknown alpha/media contexts; 010 and 011 verify ledger honesty, not implementation or project conformance; 012 records a pending gate",No adopting project,Not verified,True,PASS
KBDL-VAL-012,Candidate status is not approval,"009 excludes unknown alpha/media contexts; 010 and 011 verify ledger honesty, not implementation or project conformance; 012 records a pending gate",Candidate status is not approval,None,True,PASS
