Requirement ID,Field name,Higher source value,Lower source value,Rule source,Computed result
KBDL-FND-010,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-FND-010,Related decision,RESOLVED,KBDL-DEC-012,Approved decision register,PASS
KBDL-FND-010,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-FND-011,Requirement ID,KBDL-FND-011,KBDL-FND-011,Normative requirement record,PASS
KBDL-FND-011,Blueprint section,Foundation decision packet — default values,Foundation decision packet — default values,Readable traceability group,PASS
KBDL-FND-011,Roadmap prompt,KBDL-003,KBDL-003 (approved via project-owner review following KBDL-003-R1),Approved roadmap and module ownership,PASS
KBDL-FND-011,Specification location,foundations/spacing-layout.md#13-default-modular-spacing-system,foundations/spacing-layout.md#13-default-modular-spacing-system,Containing normative Markdown section,PASS
KBDL-FND-011,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-FND-011,Provenance,User-provided,User-provided,Normative requirement record,PASS
KBDL-FND-011,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-FND-011,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-FND-011,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-FND-011,Authority,RESOLVED,Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-FND-011,Validation method,Project-owner review (completed); exact pixel values validated once chosen.,Project-owner review (completed); exact pixel values validated once chosen,Normative method or independently approved evidence-method registry,PASS
KBDL-FND-011,Validation evidence,"Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text","Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",Existing evidence source or honest Not verified record,PASS
KBDL-FND-011,Known limitation,UNRESOLVED,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Actual excluded or unverified scope,PASS
KBDL-FND-011,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-FND-011,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-FND-011,Related decision,RESOLVED,KBDL-DEC-012,Approved decision register,PASS
KBDL-FND-011,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-FND-012,Requirement ID,KBDL-FND-012,KBDL-FND-012,Normative requirement record,PASS
KBDL-FND-012,Blueprint section,Foundation decision packet — default values,Foundation decision packet — default values,Readable traceability group,PASS
KBDL-FND-012,Roadmap prompt,KBDL-003,KBDL-003 (approved via project-owner review following KBDL-003-R1),Approved roadmap and module ownership,PASS
KBDL-FND-012,Specification location,foundations/shape-depth.md#13-default-corner-system,foundations/shape-depth.md#13-default-corner-system,Containing normative Markdown section,PASS
KBDL-FND-012,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-FND-012,Provenance,User-provided,User-provided,Normative requirement record,PASS
KBDL-FND-012,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-FND-012,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-FND-012,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-FND-012,Authority,RESOLVED,Approved (project owner approved via the foundation decision packet; see KBDL-DEC-012),AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-FND-012,Validation method,Project-owner review (completed).,Project-owner review (completed),Normative method or independently approved evidence-method registry,PASS
KBDL-FND-012,Validation evidence,"Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text","Contrast-ratio table in foundations/color.md §4, computed via a local dependency-free script (see the KBDL-003 validation evidence for the script and full output). Updated under KBDL-003-R1: neutral-50 (3.25:1) was found to fail the 4.5:1 normal-text threshold and is now restricted to large-text/non-text-UI/decorative use only; a new neutral-60 (5.59:1) was added and verified as the safe value for normal-sized secondary/tertiary text",Existing evidence source or honest Not verified record,PASS
KBDL-FND-012,Known limitation,UNRESOLVED,"Approval authorizes these defaults for implementation; it does not itself constitute rendering, brand-suitability, or licensing validation — those remain Not verified as noted above",Actual excluded or unverified scope,PASS
KBDL-FND-012,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-FND-012,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-FND-012,Related decision,RESOLVED,KBDL-DEC-012,Approved decision register,PASS
KBDL-FND-012,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-GOV-001,Requirement ID,KBDL-GOV-001,KBDL-GOV-001,Normative requirement record,PASS
KBDL-GOV-001,Blueprint section,Specification architecture and governance foundation,Specification architecture and governance foundation,Readable traceability group,PASS
KBDL-GOV-001,Roadmap prompt,KBDL-001,KBDL-001,Approved roadmap and module ownership,PASS
KBDL-GOV-001,Specification location,governance.md#kbdl-governance-and-change-control,governance.md#kbdl-gov-001--specification-architecture-is-established,Containing normative Markdown section,PASS
KBDL-GOV-001,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-GOV-001,Provenance,Historical KBDL-001 prompt and approved decision record,Historical KBDL-001 prompt and approved decision record,Normative requirement record,PASS
KBDL-GOV-001,Validation classification,UNRESOLVED,Verified,Normative requirement record,PASS
KBDL-GOV-001,Verified scope,Verified,Verified,Executed evidence and stated scope,PASS
KBDL-GOV-001,Not-verified scope,None,None,Unexecuted or excluded scope,PASS
KBDL-GOV-001,Authority,RESOLVED,Project-owner-approved KBDL-001 prompt and KBDL-DEC-002,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-GOV-001,Validation method,"Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files.","Manual review — heading hierarchy, relative-link resolution, and heading-anchor correctness checked across all KBDL-001 files",Normative method or independently approved evidence-method registry,PASS
KBDL-GOV-001,Validation evidence,Manual review recorded in commit 2d356b4 (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see decision-register.md § KBDL-DEC-011),Manual review recorded in commit 2d356b4 (KBDL-001 initial commit); re-checked for this remediation in commit-to-follow (see decision-register.md § KBDL-DEC-011),Existing evidence source or honest Not verified record,PASS
KBDL-GOV-001,Known limitation,"No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based","No automated Markdown linter or link checker was available in this environment; verification is manual, not tool-based",Actual excluded or unverified scope,PASS
KBDL-GOV-001,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-GOV-001,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-GOV-001,Related decision,RESOLVED,KBDL-DEC-002,Approved decision register,PASS
KBDL-GOV-001,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-GOV-002,Requirement ID,KBDL-GOV-002,KBDL-GOV-002,Normative requirement record,PASS
KBDL-GOV-002,Blueprint section,WCAG 2.2 AA baseline with enhanced motion safety (locked-rule protection),WCAG 2.2 AA baseline with enhanced motion safety (locked-rule protection),Readable traceability group,PASS
KBDL-GOV-002,Roadmap prompt,KBDL-001,KBDL-001,Approved roadmap and module ownership,PASS
KBDL-GOV-002,Specification location,governance.md#kbdl-gov-001--specification-architecture-is-established,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,Containing normative Markdown section,PASS
KBDL-GOV-002,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-GOV-002,Provenance,Historical KBDL-001 prompt and approved decision record,Historical KBDL-001 prompt and approved decision record,Normative requirement record,PASS
KBDL-GOV-002,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-GOV-002,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-GOV-002,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-GOV-002,Authority,RESOLVED,Project-owner-approved KBDL-001 prompt and KBDL-DEC-010,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-GOV-002,Validation method,Manual review; no automated check is applicable yet.,Manual review; no automated check is applicable yet,Normative method or independently approved evidence-method registry,PASS
KBDL-GOV-002,Validation evidence,Not verified — no A11Y requirement exists yet for this rule to be checked against,Not verified — no A11Y requirement exists yet for this rule to be checked against,Existing evidence source or honest Not verified record,PASS
KBDL-GOV-002,Known limitation,UNRESOLVED,"Cannot be validated against a real accessibility requirement, since none exist yet",Actual excluded or unverified scope,PASS
KBDL-GOV-002,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-GOV-002,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-GOV-002,Related decision,RESOLVED,KBDL-DEC-010,Approved decision register,PASS
KBDL-GOV-002,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-GOV-003,Requirement ID,KBDL-GOV-003,KBDL-GOV-003,Normative requirement record,PASS
KBDL-GOV-003,Blueprint section,Governance and change control,Governance and change control,Readable traceability group,PASS
KBDL-GOV-003,Roadmap prompt,KBDL-001,KBDL-001,Approved roadmap and module ownership,PASS
KBDL-GOV-003,Specification location,governance.md#kbdl-gov-002--accessibility-requirements-are-protected,governance.md#kbdl-gov-003--documentation-governance-process,Containing normative Markdown section,PASS
KBDL-GOV-003,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-GOV-003,Provenance,Historical KBDL-001 prompt and approved decision record,Historical KBDL-001 prompt and approved decision record,Normative requirement record,PASS
KBDL-GOV-003,Validation classification,UNRESOLVED,Verified,Normative requirement record,PASS
KBDL-GOV-003,Verified scope,Verified,Verified,Executed evidence and stated scope,PASS
KBDL-GOV-003,Not-verified scope,None,None,Unexecuted or excluded scope,PASS
KBDL-GOV-003,Authority,RESOLVED,Project-owner-approved KBDL-001 prompt and KBDL-DEC-011,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-GOV-003,Validation method,"Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence).","Manual review against this prompt's required governance topics (ownership, proposal, review, approval, scope-change, exception, deprecation, versioning, documentation-update, accessibility/motion/responsive review, conformance-review, conflict-resolution, restoration, evidence)",Normative method or independently approved evidence-method registry,PASS
KBDL-GOV-003,Validation evidence,"Manual review recorded in commit 2d356b4, corrected in the remediation commit for this status-model fix","Manual review recorded in commit 2d356b4, corrected in the remediation commit for this status-model fix",Existing evidence source or honest Not verified record,PASS
KBDL-GOV-003,Known limitation,None identified,None identified,Actual excluded or unverified scope,PASS
KBDL-GOV-003,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-GOV-003,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-GOV-003,Related decision,RESOLVED,KBDL-DEC-011,Approved decision register,PASS
KBDL-GOV-003,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-MOT-001,Requirement ID,KBDL-MOT-001,KBDL-MOT-001,Normative requirement record,PASS
KBDL-MOT-001,Blueprint section,Motion purpose requirement; motion terminology; expressive-versus-usability conflict resolution,Motion purpose requirement; motion terminology; expressive-versus-usability conflict resolution,Readable traceability group,PASS
KBDL-MOT-001,Roadmap prompt,KBDL-005,KBDL-005,Approved roadmap and module ownership,PASS
KBDL-MOT-001,Specification location,motion/foundations.md#1-motion-purposes,motion/foundations.md#1-motion-purposes,Containing normative Markdown section,PASS
KBDL-MOT-001,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-MOT-001,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-MOT-001,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-MOT-001,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-MOT-001,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-MOT-001,Authority,RESOLVED,"Approved (directly restates the locked Motion Purpose rule, principles.md §5.1); project-owner-approved KBDL-005 implementation prompt",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-MOT-001,Validation method,Manual review confirming every documented motion pattern cites a purpose from the approved list.,Manual review confirming every documented motion pattern cites a purpose from the approved list,Normative method or independently approved evidence-method registry,PASS
KBDL-MOT-001,Validation evidence,Manual review recorded in motion/validation.md §6,Manual review recorded in motion/validation.md §6,Existing evidence source or honest Not verified record,PASS
KBDL-MOT-001,Known limitation,UNRESOLVED,"Per-component purpose assignment depends on the Components module (CMP), not yet reached",Actual excluded or unverified scope,PASS
KBDL-MOT-001,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-MOT-001,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-MOT-001,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-MOT-001,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-MOT-002,Requirement ID,KBDL-MOT-002,KBDL-MOT-002,Normative requirement record,PASS
KBDL-MOT-002,Blueprint section,Motion purpose requirement; motion terminology; expressive-versus-usability conflict resolution,Motion purpose requirement; motion terminology; expressive-versus-usability conflict resolution,Readable traceability group,PASS
KBDL-MOT-002,Roadmap prompt,KBDL-005,KBDL-005,Approved roadmap and module ownership,PASS
KBDL-MOT-002,Specification location,motion/README.md#2-motion-terminology,motion/README.md#2-motion-terminology,Containing normative Markdown section,PASS
KBDL-MOT-002,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-MOT-002,Provenance,User-provided,User-provided,Normative requirement record,PASS
KBDL-MOT-002,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-MOT-002,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-MOT-002,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-MOT-002,Authority,RESOLVED,Project-owner-approved KBDL-005 implementation prompt; authoritative provenance: User-provided,AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-MOT-002,Validation method,Manual terminology-consistency review.,Manual terminology-consistency review,Normative method or independently approved evidence-method registry,PASS
KBDL-MOT-002,Validation evidence,Manual review recorded in motion/validation.md §6,Manual review recorded in motion/validation.md §6,Existing evidence source or honest Not verified record,PASS
KBDL-MOT-002,Known limitation,UNRESOLVED,"Per-component purpose assignment depends on the Components module (CMP), not yet reached",Actual excluded or unverified scope,PASS
KBDL-MOT-002,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-MOT-002,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-MOT-002,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-MOT-002,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-MOT-003,Requirement ID,KBDL-MOT-003,KBDL-MOT-003,Normative requirement record,PASS
KBDL-MOT-003,Blueprint section,Motion purpose requirement; motion terminology; expressive-versus-usability conflict resolution,Motion purpose requirement; motion terminology; expressive-versus-usability conflict resolution,Readable traceability group,PASS
KBDL-MOT-003,Roadmap prompt,KBDL-005,KBDL-005,Approved roadmap and module ownership,PASS
KBDL-MOT-003,Specification location,motion/README.md#33-relationship-and-conflict-resolution,motion/README.md#33-relationship-and-conflict-resolution,Containing normative Markdown section,PASS
KBDL-MOT-003,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-MOT-003,Provenance,Confirmed,Confirmed,Normative requirement record,PASS
KBDL-MOT-003,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-MOT-003,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-MOT-003,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-MOT-003,Authority,RESOLVED,Approved (directly extends KBDL-PRN-002),AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-MOT-003,Validation method,Manual review of motion decisions against the priority order; disputes escalated per [governance.md](../governance.md).,Manual review of motion decisions against the priority order; disputes escalated per [governance.md](../governance.md),Normative method or independently approved evidence-method registry,PASS
KBDL-MOT-003,Validation evidence,Manual review recorded in motion/validation.md §6,Manual review recorded in motion/validation.md §6,Existing evidence source or honest Not verified record,PASS
KBDL-MOT-003,Known limitation,UNRESOLVED,"Per-component purpose assignment depends on the Components module (CMP), not yet reached",Actual excluded or unverified scope,PASS
KBDL-MOT-003,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-MOT-003,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-MOT-003,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-MOT-003,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-MOT-004,Requirement ID,KBDL-MOT-004,KBDL-MOT-004,Normative requirement record,PASS
KBDL-MOT-004,Blueprint section,Ten motion categories; five-level motion hierarchy; multi-factor intensity model,Ten motion categories; five-level motion hierarchy; multi-factor intensity model,Readable traceability group,PASS
KBDL-MOT-004,Roadmap prompt,KBDL-005,KBDL-005,Approved roadmap and module ownership,PASS
KBDL-MOT-004,Specification location,motion/foundations.md#2-motion-categories,motion/foundations.md#2-motion-categories,Containing normative Markdown section,PASS
KBDL-MOT-004,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-MOT-004,Provenance,User-provided,User-provided,Normative requirement record,PASS
KBDL-MOT-004,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-MOT-004,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-MOT-004,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-MOT-004,Authority,RESOLVED,"Approved (structural requirement; the categories' exact intensity defaults remain Recommended, see KBDL-MOT-006)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-MOT-004,Validation method,Manual completeness review per category.,Manual completeness review per category,Normative method or independently approved evidence-method registry,PASS
KBDL-MOT-004,Validation evidence,Manual review recorded in motion/validation.md §1,Manual review recorded in motion/validation.md §1,Existing evidence source or honest Not verified record,PASS
KBDL-MOT-004,Known limitation,UNRESOLVED,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",Actual excluded or unverified scope,PASS
KBDL-MOT-004,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-MOT-004,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-MOT-004,Related decision,RESOLVED,None,Approved decision register,PASS
KBDL-MOT-004,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-MOT-005,Requirement ID,KBDL-MOT-005,KBDL-MOT-005,Normative requirement record,PASS
KBDL-MOT-005,Blueprint section,Ten motion categories; five-level motion hierarchy; multi-factor intensity model,Ten motion categories; five-level motion hierarchy; multi-factor intensity model,Readable traceability group,PASS
KBDL-MOT-005,Roadmap prompt,KBDL-005,KBDL-005,Approved roadmap and module ownership,PASS
KBDL-MOT-005,Specification location,motion/foundations.md#3-motion-hierarchy,motion/foundations.md#3-motion-hierarchy,Containing normative Markdown section,PASS
KBDL-MOT-005,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-MOT-005,Provenance,User-provided,User-provided,Normative requirement record,PASS
KBDL-MOT-005,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-MOT-005,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-MOT-005,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-MOT-005,Authority,RESOLVED,Approved (per KBDL-DEC-014; the specific five-level structure and names were new KBDL-005 policy until this approval),AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-MOT-005,Validation method,"Manual review of Exceptional-level usage once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).","Manual review of Exceptional-level usage once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Normative method or independently approved evidence-method registry,PASS
KBDL-MOT-005,Validation evidence,Manual review recorded in motion/validation.md §1,Manual review recorded in motion/validation.md §1,Existing evidence source or honest Not verified record,PASS
KBDL-MOT-005,Known limitation,UNRESOLVED,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",Actual excluded or unverified scope,PASS
KBDL-MOT-005,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-MOT-005,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-MOT-005,Related decision,RESOLVED,KBDL-DEC-014,Approved decision register,PASS
KBDL-MOT-005,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-MOT-006,Requirement ID,KBDL-MOT-006,KBDL-MOT-006,Normative requirement record,PASS
KBDL-MOT-006,Blueprint section,Ten motion categories; five-level motion hierarchy; multi-factor intensity model,Ten motion categories; five-level motion hierarchy; multi-factor intensity model,Readable traceability group,PASS
KBDL-MOT-006,Roadmap prompt,KBDL-005,KBDL-005,Approved roadmap and module ownership,PASS
KBDL-MOT-006,Specification location,motion/foundations.md#4-motion-intensity,motion/foundations.md#4-motion-intensity,Containing normative Markdown section,PASS
KBDL-MOT-006,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-MOT-006,Provenance,User-provided,User-provided,Normative requirement record,PASS
KBDL-MOT-006,Validation classification,UNRESOLVED,Not verified,Normative requirement record,PASS
KBDL-MOT-006,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-MOT-006,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-MOT-006,Authority,RESOLVED,"Approved (per KBDL-DEC-014, decision packet item 14)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-MOT-006,Validation method,"Manual review of intensity assessments once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).","Manual review of intensity assessments once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Normative method or independently approved evidence-method registry,PASS
KBDL-MOT-006,Validation evidence,Manual review recorded in motion/validation.md §1,Manual review recorded in motion/validation.md §1,Existing evidence source or honest Not verified record,PASS
KBDL-MOT-006,Known limitation,UNRESOLVED,"Exceptional-level (Level 4) usage requires project-owner review each time; not yet exercised, since no implementation exists",Actual excluded or unverified scope,PASS
KBDL-MOT-006,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-MOT-006,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-MOT-006,Related decision,RESOLVED,KBDL-DEC-014,Approved decision register,PASS
KBDL-MOT-006,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-MOT-007,Requirement ID,KBDL-MOT-007,KBDL-MOT-007,Normative requirement record,PASS
KBDL-MOT-007,Blueprint section,Semantic timing classes; duration recommendations; easing categories and exact curves,Semantic timing classes; duration recommendations; easing categories and exact curves,Readable traceability group,PASS
KBDL-MOT-007,Roadmap prompt,KBDL-005,KBDL-005,Approved roadmap and module ownership,PASS
KBDL-MOT-007,Specification location,motion/timing-easing.md#1-timing-architecture,motion/timing-easing.md#1-timing-architecture,Containing normative Markdown section,PASS
KBDL-MOT-007,Lifecycle status,Approved,Approved,Normative requirement record,PASS
KBDL-MOT-007,Provenance,User-provided,User-provided,Normative requirement record,PASS
KBDL-MOT-007,Validation classification,Not verified,Not verified,Normative requirement record,PASS
KBDL-MOT-007,Verified scope,None,None,Executed evidence and stated scope,PASS
KBDL-MOT-007,Not-verified scope,Not verified,Not verified,Unexecuted or excluded scope,PASS
KBDL-MOT-007,Authority,UNRESOLVED,"Approved (per KBDL-DEC-014, decision packet item 2, together with KBDL-MOT-008, as one timing system)",AR2 confirmation approved decision standard or Approved requirement,PASS
KBDL-MOT-007,Validation method,"Manual review of timing-class usage once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved)).","Manual review of timing-class usage once implemented; project-owner review (performed, see [KBDL-DEC-014](../decision-register.md#kbdl-dec-014--kbdl-005-motion-decisions-approved))",Normative method or independently approved evidence-method registry,PASS
KBDL-MOT-007,Validation evidence,"motion/validation.md §2 — every value has a stated purpose, exit durations are equal to or shorter than paired entrances, and no value is marked Verified without implementation evidence","motion/validation.md §2 — every value has a stated purpose, exit durations are equal to or shorter than paired entrances, and no value is marked Verified without implementation evidence",Existing evidence source or honest Not verified record,PASS
KBDL-MOT-007,Known limitation,UNRESOLVED,"Approval is a lifecycle decision, not implementation validation; these values must not be treated as Verified until an implementation exists and is measured",Actual excluded or unverified scope,PASS
KBDL-MOT-007,Packet or tracking destination,None — Approved,None — Approved,Exact packet or tracking section,PASS
KBDL-MOT-007,Pending dependencies,None,None,Normative record packet or deferred tracking,PASS
KBDL-MOT-007,Related decision,RESOLVED,KBDL-DEC-014,Approved decision register,PASS
KBDL-MOT-007,Notes or exclusions,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,Higher-priority exclusion or bounded administrative note,PASS
KBDL-MOT-008,Requirement ID,KBDL-MOT-008,KBDL-MOT-008,Normative requirement record,PASS
KBDL-MOT-008,Blueprint section,Semantic timing classes; duration recommendations; easing categories and exact curves,Semantic timing classes; duration recommendations; easing categories and exact curves,Readable traceability group,PASS
KBDL-MOT-008,Roadmap prompt,KBDL-005,KBDL-005,Approved roadmap and module ownership,PASS
KBDL-MOT-008,Specification location,motion/timing-easing.md#2-duration-recommendations,motion/timing-easing.md#2-duration-recommendations,Containing normative Markdown section,PASS
