Requirement ID,Field name,Raw group field,Parsed grammar,Group value,Group classification,Overriding status,Ledger value,Comparison,Result
KBDL-CUS-010,Validation method,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists.",Combined method/evidence summary,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists.",Non-overriding summary,No,Programmatic field audit plus manual status review,SUMMARY,PASS
KBDL-CUS-010,Validation evidence,MISSING,Missing,MISSING,Missing,No,Not verified — validation method has not been executed,NOT COMPARABLE,PASS
KBDL-CUS-010,Known limitation,Exact local operational policies remain Recommended; implementation behavior is absent.,Broad descriptive summary,Exact local operational policies remain Recommended; implementation behavior is absent.,Non-overriding summary,No,No machine-readable format is mandated,SUMMARY,PASS
KBDL-CUS-010,Packet or tracking destination,`001`–`012`: None — Approved requirements do not await packet approval.,Range mapping,None — Approved requirements do not await packet approval.,Exact per-ID mapping,Yes,None — Approved,DIFFER,PASS
KBDL-CUS-010,Pending dependencies,`001`–`012`: None.,Range mapping,None.,Exact per-ID mapping,Yes,None,AGREE,PASS
KBDL-CUS-010,Related decision,`KBDL-DEC-004` for manual documentation; no KBDL-010 packet decision exists.,Broad descriptive summary,`KBDL-DEC-004` for manual documentation; no KBDL-010 packet decision exists.,Non-overriding summary,No,KBDL-DEC-004,SUMMARY,PASS
KBDL-CUS-010,Notes or exclusions,A record documents authority and never creates it.,Broad descriptive summary,A record documents authority and never creates it.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-CUS-011,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-CUS-011,NOT COMPARABLE,PASS
KBDL-CUS-011,Blueprint section,Manual/documented customization; authority; classification; workflow; intake; records; impact/evidence; review/rollback,Uniform default,Manual/documented customization; authority; classification; workflow; intake; records; impact/evidence; review/rollback,Uniform default,Yes,Manual/documented customization; authority; classification; workflow; intake; records; impact/evidence; review/rollback,AGREE,PASS
KBDL-CUS-011,Roadmap prompt,KBDL-010,Uniform default,KBDL-010,Uniform default,Yes,KBDL-010,AGREE,PASS
KBDL-CUS-011,Specification location,MISSING,Missing,MISSING,Missing,No,customization.md#10-impact-assessment; customization.md#14-validation-and-evidence-planning,NOT COMPARABLE,PASS
KBDL-CUS-011,Lifecycle status,All Approved.,Uniform status default,Approved,Uniform default,Yes,Approved,AGREE,PASS
KBDL-CUS-011,Provenance,All Confirmed.,Uniform status default,Confirmed,Uniform default,Yes,Confirmed,AGREE,PASS
KBDL-CUS-011,Validation classification,Not verified,Uniform status default,Not verified,Uniform default,Yes,Not verified,AGREE,PASS
KBDL-CUS-011,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-CUS-011,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-CUS-011,Authority,Per-ID prior Approved governance/principle/profile sources and/or explicit mandatory KBDL-010 prompt clauses; exact source appears in each normative record.,Broad descriptive summary,Per-ID prior Approved governance/principle/profile sources and/or explicit mandatory KBDL-010 prompt clauses; exact source appears in each normative record.,Non-overriding summary,No,Mandatory KBDL-010 impact and evidence clauses; project-owner-approved KBDL-010 implementation prompt,SUMMARY,PASS
KBDL-CUS-011,Validation method,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists.",Combined method/evidence summary,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists.",Non-overriding summary,No,Impact/evidence plan audit,SUMMARY,PASS
KBDL-CUS-011,Validation evidence,MISSING,Missing,MISSING,Missing,No,Not verified — validation method has not been executed,NOT COMPARABLE,PASS
KBDL-CUS-011,Known limitation,Exact local operational policies remain Recommended; implementation behavior is absent.,Broad descriptive summary,Exact local operational policies remain Recommended; implementation behavior is absent.,Non-overriding summary,No,Final KBDL validation remains later scope,SUMMARY,PASS
KBDL-CUS-011,Packet or tracking destination,`001`–`012`: None — Approved requirements do not await packet approval.,Range mapping,None — Approved requirements do not await packet approval.,Exact per-ID mapping,Yes,None — Approved,DIFFER,PASS
KBDL-CUS-011,Pending dependencies,`001`–`012`: None.,Range mapping,None.,Exact per-ID mapping,Yes,None,AGREE,PASS
KBDL-CUS-011,Related decision,`KBDL-DEC-004` for manual documentation; no KBDL-010 packet decision exists.,Broad descriptive summary,`KBDL-DEC-004` for manual documentation; no KBDL-010 packet decision exists.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-CUS-011,Notes or exclusions,A record documents authority and never creates it.,Broad descriptive summary,A record documents authority and never creates it.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-CUS-012,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-CUS-012,NOT COMPARABLE,PASS
KBDL-CUS-012,Blueprint section,Manual/documented customization; authority; classification; workflow; intake; records; impact/evidence; review/rollback,Uniform default,Manual/documented customization; authority; classification; workflow; intake; records; impact/evidence; review/rollback,Uniform default,Yes,Manual/documented customization; authority; classification; workflow; intake; records; impact/evidence; review/rollback,AGREE,PASS
KBDL-CUS-012,Roadmap prompt,KBDL-010,Uniform default,KBDL-010,Uniform default,Yes,KBDL-010,AGREE,PASS
KBDL-CUS-012,Specification location,MISSING,Missing,MISSING,Missing,No,customization.md#15-review-expiry-change-and-rollback,NOT COMPARABLE,PASS
KBDL-CUS-012,Lifecycle status,All Approved.,Uniform status default,Approved,Uniform default,Yes,Approved,AGREE,PASS
KBDL-CUS-012,Provenance,All Confirmed.,Uniform status default,Confirmed,Uniform default,Yes,Confirmed,AGREE,PASS
KBDL-CUS-012,Validation classification,Not verified,Uniform status default,Not verified,Uniform default,Yes,Not verified,AGREE,PASS
KBDL-CUS-012,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-CUS-012,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-CUS-012,Authority,Per-ID prior Approved governance/principle/profile sources and/or explicit mandatory KBDL-010 prompt clauses; exact source appears in each normative record.,Broad descriptive summary,Per-ID prior Approved governance/principle/profile sources and/or explicit mandatory KBDL-010 prompt clauses; exact source appears in each normative record.,Non-overriding summary,No,Mandatory KBDL-010 change and rollback clauses; project-owner-approved KBDL-010 implementation prompt,SUMMARY,PASS
KBDL-CUS-012,Validation method,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists.",Combined method/evidence summary,"Per-ID record, authority, classification, workflow, field, impact, proposal, exception, history, or rollback audit; evidence Not verified because no project customization exists.",Non-overriding summary,No,Record-history and rollback audit,SUMMARY,PASS
KBDL-CUS-012,Validation evidence,MISSING,Missing,MISSING,Missing,No,Not verified — validation method has not been executed,NOT COMPARABLE,PASS
KBDL-CUS-012,Known limitation,Exact local operational policies remain Recommended; implementation behavior is absent.,Broad descriptive summary,Exact local operational policies remain Recommended; implementation behavior is absent.,Non-overriding summary,No,Exact cadence/expiry are Recommended,SUMMARY,PASS
KBDL-CUS-012,Packet or tracking destination,`001`–`012`: None — Approved requirements do not await packet approval.,Per-ID clause mapping,None — Approved requirements do not await packet approval.,Exact per-ID mapping,Yes,None — Approved,DIFFER,PASS
KBDL-CUS-012,Pending dependencies,`001`–`012`: None.,Per-ID clause mapping,None.,Exact per-ID mapping,Yes,None,AGREE,PASS
KBDL-CUS-012,Related decision,`KBDL-DEC-004` for manual documentation; no KBDL-010 packet decision exists.,Broad descriptive summary,`KBDL-DEC-004` for manual documentation; no KBDL-010 packet decision exists.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-CUS-012,Notes or exclusions,A record documents authority and never creates it.,Broad descriptive summary,A record documents authority and never creates it.,Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-CUS-013,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-CUS-013,NOT COMPARABLE,PASS
KBDL-CUS-013,Blueprint section,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Yes,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,AGREE,PASS
KBDL-CUS-013,Roadmap prompt,KBDL-010,Uniform default,KBDL-010,Uniform default,Yes,KBDL-010,AGREE,PASS
KBDL-CUS-013,Specification location,MISSING,Missing,MISSING,Missing,No,customization.md#16-foundations-customization,NOT COMPARABLE,PASS
KBDL-CUS-013,Lifecycle status,All Approved.,Uniform status default,Approved,Uniform default,Yes,Approved,AGREE,PASS
KBDL-CUS-013,Provenance,All Confirmed.,Uniform status default,Confirmed,Uniform default,Yes,Confirmed,AGREE,PASS
KBDL-CUS-013,Validation classification,Not verified,Uniform status default,Not verified,Uniform default,Yes,Not verified,AGREE,PASS
KBDL-CUS-013,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-CUS-013,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-CUS-013,Authority,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Broad descriptive summary,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Non-overriding summary,No,Approved foundation requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,SUMMARY,PASS
KBDL-CUS-013,Validation method,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Combined method/evidence summary,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Non-overriding summary,No,Foundation-role/value audit,SUMMARY,PASS
KBDL-CUS-013,Validation evidence,MISSING,Missing,MISSING,Missing,No,Not verified — validation method has not been executed,NOT COMPARABLE,PASS
KBDL-CUS-013,Known limitation,No project implementation exists; every listed earlier recommendation remains excluded.,Broad descriptive summary,No project implementation exists; every listed earlier recommendation remains excluded.,Non-overriding summary,No,Project implementation absent,SUMMARY,PASS
KBDL-CUS-013,Packet or tracking destination,`013`–`022`: None — Approved.,Per-ID clause mapping,None — Approved.,Exact per-ID mapping,Yes,None — Approved,AGREE,PASS
KBDL-CUS-013,Pending dependencies,"`013`–`022`: None; pending earlier items are exclusions, not normative dependencies.",Per-ID clause mapping,None,Exact per-ID mapping,Yes,None,AGREE,PASS
KBDL-CUS-013,Related decision,None new; existing owning-module decisions remain authoritative.,Broad descriptive summary,None new; existing owning-module decisions remain authoritative.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-CUS-013,Notes or exclusions,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Broad descriptive summary,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-CUS-014,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-CUS-014,NOT COMPARABLE,PASS
KBDL-CUS-014,Blueprint section,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Yes,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,AGREE,PASS
KBDL-CUS-014,Roadmap prompt,KBDL-010,Uniform default,KBDL-010,Uniform default,Yes,KBDL-010,AGREE,PASS
KBDL-CUS-014,Specification location,MISSING,Missing,MISSING,Missing,No,customization.md#17-theme-customization,NOT COMPARABLE,PASS
KBDL-CUS-014,Lifecycle status,All Approved.,Uniform status default,Approved,Uniform default,Yes,Approved,AGREE,PASS
KBDL-CUS-014,Provenance,All Confirmed.,Uniform status default,Confirmed,Uniform default,Yes,Confirmed,AGREE,PASS
KBDL-CUS-014,Validation classification,Not verified,Uniform status default,Not verified,Uniform default,Yes,Not verified,AGREE,PASS
KBDL-CUS-014,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-CUS-014,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-CUS-014,Authority,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Broad descriptive summary,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Non-overriding summary,No,"Approved KBDL-THM-003, 005, 006, 013, 014 plus mandatory KBDL-010 boundary",SUMMARY,PASS
KBDL-CUS-014,Validation method,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Combined method/evidence summary,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Non-overriding summary,No,Theme-role and parity audit,SUMMARY,PASS
KBDL-CUS-014,Validation evidence,MISSING,Missing,MISSING,Missing,No,Not verified — validation method has not been executed,NOT COMPARABLE,PASS
KBDL-CUS-014,Known limitation,No project implementation exists; every listed earlier recommendation remains excluded.,Broad descriptive summary,No project implementation exists; every listed earlier recommendation remains excluded.,Non-overriding summary,No,Pending theme items remain excluded,SUMMARY,PASS
KBDL-CUS-014,Packet or tracking destination,`013`–`022`: None — Approved.,Range mapping,None — Approved.,Exact per-ID mapping,Yes,None — Approved,AGREE,PASS
KBDL-CUS-014,Pending dependencies,"`013`–`022`: None; pending earlier items are exclusions, not normative dependencies.",Range mapping,None,Exact per-ID mapping,Yes,None,AGREE,PASS
KBDL-CUS-014,Related decision,None new; existing owning-module decisions remain authoritative.,Broad descriptive summary,None new; existing owning-module decisions remain authoritative.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-CUS-014,Notes or exclusions,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Broad descriptive summary,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-CUS-015,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-CUS-015,NOT COMPARABLE,PASS
KBDL-CUS-015,Blueprint section,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Yes,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,AGREE,PASS
KBDL-CUS-015,Roadmap prompt,KBDL-010,Uniform default,KBDL-010,Uniform default,Yes,KBDL-010,AGREE,PASS
KBDL-CUS-015,Specification location,MISSING,Missing,MISSING,Missing,No,customization.md#18-motion-customization,NOT COMPARABLE,PASS
KBDL-CUS-015,Lifecycle status,All Approved.,Uniform status default,Approved,Uniform default,Yes,Approved,AGREE,PASS
KBDL-CUS-015,Provenance,All Confirmed.,Uniform status default,Confirmed,Uniform default,Yes,Confirmed,AGREE,PASS
KBDL-CUS-015,Validation classification,Not verified,Uniform status default,Not verified,Uniform default,Yes,Not verified,AGREE,PASS
KBDL-CUS-015,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-CUS-015,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-CUS-015,Authority,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Broad descriptive summary,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Non-overriding summary,No,Approved motion requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,SUMMARY,PASS
KBDL-CUS-015,Validation method,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Combined method/evidence summary,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Non-overriding summary,No,Motion architecture/safety audit,SUMMARY,PASS
KBDL-CUS-015,Validation evidence,MISSING,Missing,MISSING,Missing,No,Not verified — validation method has not been executed,NOT COMPARABLE,PASS
KBDL-CUS-015,Known limitation,No project implementation exists; every listed earlier recommendation remains excluded.,Broad descriptive summary,No project implementation exists; every listed earlier recommendation remains excluded.,Non-overriding summary,No,Exact component values and technology remain excluded,SUMMARY,PASS
KBDL-CUS-015,Packet or tracking destination,`013`–`022`: None — Approved.,Range mapping,None — Approved.,Exact per-ID mapping,Yes,None — Approved,AGREE,PASS
KBDL-CUS-015,Pending dependencies,"`013`–`022`: None; pending earlier items are exclusions, not normative dependencies.",Range mapping,None,Exact per-ID mapping,Yes,None,AGREE,PASS
KBDL-CUS-015,Related decision,None new; existing owning-module decisions remain authoritative.,Broad descriptive summary,None new; existing owning-module decisions remain authoritative.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-CUS-015,Notes or exclusions,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Broad descriptive summary,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-CUS-016,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-CUS-016,NOT COMPARABLE,PASS
KBDL-CUS-016,Blueprint section,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Yes,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,AGREE,PASS
KBDL-CUS-016,Roadmap prompt,KBDL-010,Uniform default,KBDL-010,Uniform default,Yes,KBDL-010,AGREE,PASS
KBDL-CUS-016,Specification location,MISSING,Missing,MISSING,Missing,No,customization.md#19-responsive-customization,NOT COMPARABLE,PASS
KBDL-CUS-016,Lifecycle status,All Approved.,Uniform status default,Approved,Uniform default,Yes,Approved,AGREE,PASS
KBDL-CUS-016,Provenance,All Confirmed.,Uniform status default,Confirmed,Uniform default,Yes,Confirmed,AGREE,PASS
KBDL-CUS-016,Validation classification,Not verified,Uniform status default,Not verified,Uniform default,Yes,Not verified,AGREE,PASS
KBDL-CUS-016,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-CUS-016,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-CUS-016,Authority,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Broad descriptive summary,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Non-overriding summary,No,Approved responsive requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,SUMMARY,PASS
KBDL-CUS-016,Validation method,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Combined method/evidence summary,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Non-overriding summary,No,Responsive outcome audit,SUMMARY,PASS
KBDL-CUS-016,Validation evidence,MISSING,Missing,MISSING,Missing,No,Not verified — validation method has not been executed,NOT COMPARABLE,PASS
KBDL-CUS-016,Known limitation,No project implementation exists; every listed earlier recommendation remains excluded.,Broad descriptive summary,No project implementation exists; every listed earlier recommendation remains excluded.,Non-overriding summary,No,Pending exact values remain excluded,SUMMARY,PASS
KBDL-CUS-016,Packet or tracking destination,`013`–`022`: None — Approved.,Range mapping,None — Approved.,Exact per-ID mapping,Yes,None — Approved,AGREE,PASS
KBDL-CUS-016,Pending dependencies,"`013`–`022`: None; pending earlier items are exclusions, not normative dependencies.",Range mapping,None,Exact per-ID mapping,Yes,None,AGREE,PASS
KBDL-CUS-016,Related decision,None new; existing owning-module decisions remain authoritative.,Broad descriptive summary,None new; existing owning-module decisions remain authoritative.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-CUS-016,Notes or exclusions,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Broad descriptive summary,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-CUS-017,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-CUS-017,NOT COMPARABLE,PASS
KBDL-CUS-017,Blueprint section,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Yes,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,AGREE,PASS
KBDL-CUS-017,Roadmap prompt,KBDL-010,Uniform default,KBDL-010,Uniform default,Yes,KBDL-010,AGREE,PASS
KBDL-CUS-017,Specification location,MISSING,Missing,MISSING,Missing,No,customization.md#20-accessibility-customization-boundary,NOT COMPARABLE,PASS
KBDL-CUS-017,Lifecycle status,All Approved.,Uniform status default,Approved,Uniform default,Yes,Approved,AGREE,PASS
KBDL-CUS-017,Provenance,All Confirmed.,Uniform status default,Confirmed,Uniform default,Yes,Confirmed,AGREE,PASS
KBDL-CUS-017,Validation classification,Not verified,Uniform status default,Not verified,Uniform default,Yes,Not verified,AGREE,PASS
KBDL-CUS-017,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-CUS-017,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-CUS-017,Authority,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Broad descriptive summary,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Non-overriding summary,No,"KBDL-GOV-002, Approved accessibility requirements, and mandatory KBDL-010 boundary",SUMMARY,PASS
KBDL-CUS-017,Validation method,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Combined method/evidence summary,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Non-overriding summary,No,WCAG/requirement audit,SUMMARY,PASS
KBDL-CUS-017,Validation evidence,MISSING,Missing,MISSING,Missing,No,Not verified — validation method has not been executed,NOT COMPARABLE,PASS
KBDL-CUS-017,Known limitation,No project implementation exists; every listed earlier recommendation remains excluded.,Broad descriptive summary,No project implementation exists; every listed earlier recommendation remains excluded.,Non-overriding summary,No,Implementation testing is absent,SUMMARY,PASS
KBDL-CUS-017,Packet or tracking destination,`013`–`022`: None — Approved.,Range mapping,None — Approved.,Exact per-ID mapping,Yes,None — Approved,AGREE,PASS
KBDL-CUS-017,Pending dependencies,"`013`–`022`: None; pending earlier items are exclusions, not normative dependencies.",Range mapping,None,Exact per-ID mapping,Yes,None,AGREE,PASS
KBDL-CUS-017,Related decision,None new; existing owning-module decisions remain authoritative.,Broad descriptive summary,None new; existing owning-module decisions remain authoritative.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-CUS-017,Notes or exclusions,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Broad descriptive summary,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-CUS-018,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-CUS-018,NOT COMPARABLE,PASS
KBDL-CUS-018,Blueprint section,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Yes,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,AGREE,PASS
KBDL-CUS-018,Roadmap prompt,KBDL-010,Uniform default,KBDL-010,Uniform default,Yes,KBDL-010,AGREE,PASS
KBDL-CUS-018,Specification location,MISSING,Missing,MISSING,Missing,No,customization.md#21-core-component-customization,NOT COMPARABLE,PASS
KBDL-CUS-018,Lifecycle status,All Approved.,Uniform status default,Approved,Uniform default,Yes,Approved,AGREE,PASS
KBDL-CUS-018,Provenance,All Confirmed.,Uniform status default,Confirmed,Uniform default,Yes,Confirmed,AGREE,PASS
KBDL-CUS-018,Validation classification,Not verified,Uniform status default,Not verified,Uniform default,Yes,Not verified,AGREE,PASS
KBDL-CUS-018,Verified scope,MISSING,Missing,MISSING,Missing,No,None,NOT COMPARABLE,PASS
KBDL-CUS-018,Not-verified scope,MISSING,Missing,MISSING,Missing,No,Not verified,NOT COMPARABLE,PASS
KBDL-CUS-018,Authority,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Broad descriptive summary,Approved owning-module requirements plus explicit mandatory KBDL-010 preservation clauses; exact source appears per normative record.,Non-overriding summary,No,Approved KBDL-007 requirements plus mandatory KBDL-010 boundary; project-owner-approved KBDL-010 implementation prompt,SUMMARY,PASS
KBDL-CUS-018,Validation method,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Combined method/evidence summary,"Owning-module value, parity, safety, outcome, WCAG, component-contract, invariant, security, or handoff audit; evidence Not verified.",Non-overriding summary,No,Component-contract audit,SUMMARY,PASS
KBDL-CUS-018,Validation evidence,MISSING,Missing,MISSING,Missing,No,Not verified — validation method has not been executed,NOT COMPARABLE,PASS
KBDL-CUS-018,Known limitation,No project implementation exists; every listed earlier recommendation remains excluded.,Broad descriptive summary,No project implementation exists; every listed earlier recommendation remains excluded.,Non-overriding summary,No,Pending KBDL-007 items remain excluded,SUMMARY,PASS
KBDL-CUS-018,Packet or tracking destination,`013`–`022`: None — Approved.,Range mapping,None — Approved.,Exact per-ID mapping,Yes,None — Approved,AGREE,PASS
KBDL-CUS-018,Pending dependencies,"`013`–`022`: None; pending earlier items are exclusions, not normative dependencies.",Range mapping,None,Exact per-ID mapping,Yes,None,AGREE,PASS
KBDL-CUS-018,Related decision,None new; existing owning-module decisions remain authoritative.,Broad descriptive summary,None new; existing owning-module decisions remain authoritative.,Non-overriding summary,No,None,SUMMARY,PASS
KBDL-CUS-018,Notes or exclusions,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Broad descriptive summary,"No exact value, technology, component semantic variant, Profile, or exception is introduced.",Non-overriding summary,No,Readable group plus authoritative per-ID ledger; group values reconciled without changing normative text.,SUMMARY,PASS
KBDL-CUS-019,Requirement ID,MISSING,Missing,MISSING,Missing,No,KBDL-CUS-019,NOT COMPARABLE,PASS
KBDL-CUS-019,Blueprint section,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,Uniform default,Yes,Foundations; themes; motion; responsive; accessibility; core/system components; Profiles; security/correctness; handoff,AGREE,PASS
KBDL-CUS-019,Roadmap prompt,KBDL-010,Uniform default,KBDL-010,Uniform default,Yes,KBDL-010,AGREE,PASS
KBDL-CUS-019,Specification location,MISSING,Missing,MISSING,Missing,No,customization.md#22-system-component-customization,NOT COMPARABLE,PASS
KBDL-CUS-019,Lifecycle status,All Approved.,Uniform status default,Approved,Uniform default,Yes,Approved,AGREE,PASS
KBDL-CUS-019,Provenance,All Confirmed.,Uniform status default,Confirmed,Uniform default,Yes,Confirmed,AGREE,PASS
KBDL-CUS-019,Validation classification,Not verified,Uniform status default,Not verified,Uniform default,Yes,Not verified,AGREE,PASS
